# Día       	# Fase	# Símbolo	# Nombre
2030-03-04	 0.189	🌑	Luna nueva
2030-03-12	 7.111	🌓	Cuarto creciente
2030-03-20	14.733	🌕	Luna llena
2030-03-26	21.033	🌗	Cuarto menguante
2030-04-03	 0.500	🌑	Luna nueva
2030-04-11	 7.345	🌓	Cuarto creciente
2030-04-18	14.345	🌕	Luna llena
2030-04-25	21.656	🌗	Cuarto menguante
2030-05-03	 0.811	🌑	Luna nueva
2030-05-11	 7.733	🌓	Cuarto creciente
2030-05-18	15.045	🌕	Luna llena
2030-05-24	21.267	🌗	Cuarto menguante
2030-06-01	 0.267	🌑	Luna nueva
2030-06-09	 7.345	🌓	Cuarto creciente
2030-06-16	14.733	🌕	Luna llena
2030-06-23	21.733	🌗	Cuarto menguante
2030-07-01	 0.578	🌑	Luna nueva
2030-07-08	 7.033	🌓	Cuarto creciente
2030-07-15	14.345	🌕	Luna llena
2030-07-22	21.189	🌗	Cuarto menguante
2030-07-30	 0.033	🌑	Luna nueva
2030-08-07	 7.811	🌓	Cuarto creciente
2030-08-13	14.033	🌕	Luna llena
2030-08-21	21.422	🌗	Cuarto menguante
2030-08-29	 0.500	🌑	Luna nueva
2030-09-05	 7.578	🌓	Cuarto creciente
2030-09-12	14.578	🌕	Luna llena
2030-09-20	21.578	🌗	Cuarto menguante
2030-09-27	 0.033	🌑	Luna nueva
2030-10-04	 7.267	🌓	Cuarto creciente
2030-10-11	14.033	🌕	Luna llena
2030-10-20	21.811	🌗	Cuarto menguante
2030-10-27	 0.656	🌑	Luna nueva
2030-11-03	 7.967	🌓	Cuarto creciente
2030-11-10	14.345	🌕	Luna llena
2030-11-18	21.111	🌗	Cuarto menguante
2030-11-25	 0.111	🌑	Luna nueva
2030-12-02	 7.500	🌓	Cuarto creciente
2030-12-10	14.500	🌕	Luna llena
2030-12-18	21.422	🌗	Cuarto menguante
2030-12-25	 0.733	🌑	Luna nueva
2031-01-01	 7.889	🌓	Cuarto creciente
2031-01-09	14.656	🌕	Luna llena
2031-01-17	21.967	🌗	Cuarto menguante
2031-01-23	 0.267	🌑	Luna nueva
2031-01-30	 7.189	🌓	Cuarto creciente
2031-02-08	14.889	🌕	Luna llena
2031-02-15	21.500	🌗	Cuarto menguante
2031-02-22	 0.811	🌑	Luna nueva
2031-03-01	 7.345	🌓	Cuarto creciente
2031-03-09	14.267	🌕	Luna llena
2031-03-16	21.189	🌗	Cuarto menguante
2031-03-23	 0.267	🌑	Luna nueva
2031-03-31	 7.422	🌓	Cuarto creciente
2031-04-08	14.733	🌕	Luna llena
2031-04-15	21.889	🌗	Cuarto menguante
2031-04-22	 0.733	🌑	Luna nueva
2031-04-30	 7.578	🌓	Cuarto creciente
2031-05-07	14.345	🌕	Luna llena
2031-05-14	21.656	🌗	Cuarto menguante
2031-05-21	 0.189	🌑	Luna nueva
2031-05-29	 7.033	🌓	Cuarto creciente
2031-06-06	15.045	🌕	Luna llena
2031-06-12	21.345	🌗	Cuarto menguante
2031-06-20	 0.500	🌑	Luna nueva
2031-06-28	 7.422	🌓	Cuarto creciente
2031-07-05	14.733	🌕	Luna llena
2031-07-12	21.967	🌗	Cuarto menguante
2031-07-20	 0.811	🌑	Luna nueva
2031-07-27	 7.033	🌓	Cuarto creciente
2031-08-03	14.345	🌕	Luna llena
2031-08-10	21.500	🌗	Cuarto menguante
2031-08-18	 0.267	🌑	Luna nueva
2031-08-26	 7.733	🌓	Cuarto creciente
2031-09-01	14.033	🌕	Luna llena
2031-09-09	21.733	🌗	Cuarto menguante
2031-09-17	 0.656	🌑	Luna nueva
2031-09-24	 7.422	🌓	Cuarto creciente
2031-10-01	14.656	🌕	Luna llena
2031-10-08	21.111	🌗	Cuarto menguante
2031-10-16	 0.111	🌑	Luna nueva
2031-10-23	 7.111	🌓	Cuarto creciente
2031-10-30	14.189	🌕	Luna llena
2031-11-07	21.189	🌗	Cuarto menguante
2031-11-15	 0.578	🌑	Luna nueva
2031-11-22	 7.811	🌓	Cuarto creciente
2031-11-29	14.500	🌕	Luna llena
2031-12-07	21.345	🌗	Cuarto menguante
2031-12-14	 0.111	🌑	Luna nueva
2031-12-21	 7.422	🌓	Cuarto creciente
